Total train samples: 60000
Total test samples: 10000
Batch size: 128
iteration every epoch: 468
Initial learning rate: 0.1
[2023-07-26_21:18:17] Epoch:1/200, iteration:100/468, lr: 0.1, loss: 0.43051648139953613, time: 1.0855162143707275
[2023-07-26_21:18:18] Epoch:1/200, iteration:200/468, lr: 0.1, loss: 0.31081900000572205, time: 0.5307810306549072
[2023-07-26_21:18:19] Epoch:1/200, iteration:300/468, lr: 0.1, loss: 0.29823940992355347, time: 0.5482594966888428
[2023-07-26_21:18:19] Epoch:1/200, iteration:400/468, lr: 0.1, loss: 0.20784862339496613, time: 0.5237429141998291
[2023-07-26_21:18:20] Epoch:2/200, iteration:31/468, lr: 0.1, loss: 0.02696564793586731, time: 0.8446695804595947
[2023-07-26_21:18:20] Epoch:2/200, iteration:131/468, lr: 0.1, loss: 0.0551961250603199, time: 0.5260341167449951
[2023-07-26_21:18:21] Epoch:2/200, iteration:231/468, lr: 0.1, loss: 0.07440127432346344, time: 0.60434889793396
[2023-07-26_21:18:22] Epoch:2/200, iteration:331/468, lr: 0.1, loss: 0.03588956966996193, time: 0.6373329162597656
[2023-07-26_21:18:22] Epoch:2/200, iteration:431/468, lr: 0.1, loss: 0.025284340605139732, time: 0.5545032024383545
[2023-07-26_21:18:23] Epoch:3/200, iteration:62/468, lr: 0.1, loss: 0.04993590712547302, time: 0.8032705783843994
[2023-07-26_21:18:24] Epoch:3/200, iteration:162/468, lr: 0.1, loss: 0.006586258765310049, time: 0.5234842300415039
[2023-07-26_21:18:24] Epoch:3/200, iteration:262/468, lr: 0.1, loss: 0.013602550141513348, time: 0.5597825050354004
[2023-07-26_21:18:25] Epoch:3/200, iteration:362/468, lr: 0.1, loss: 0.07186993211507797, time: 0.5368962287902832
[2023-07-26_21:18:25] Epoch:3/200, iteration:462/468, lr: 0.1, loss: 0.09843014180660248, time: 0.5760443210601807
[2023-07-26_21:18:26] Epoch:4/200, iteration:93/468, lr: 0.1, loss: 0.026276573538780212, time: 0.8010332584381104
[2023-07-26_21:18:27] Epoch:4/200, iteration:193/468, lr: 0.1, loss: 0.05705200135707855, time: 0.5234808921813965
[2023-07-26_21:18:27] Epoch:4/200, iteration:293/468, lr: 0.1, loss: 0.01667201891541481, time: 0.5967750549316406
[2023-07-26_21:18:28] Epoch:4/200, iteration:393/468, lr: 0.1, loss: 0.017892902716994286, time: 0.5360324382781982
[2023-07-26_21:18:29] Epoch:5/200, iteration:24/468, lr: 0.1, loss: 0.022536084055900574, time: 0.8031971454620361
[2023-07-26_21:18:29] Epoch:5/200, iteration:124/468, lr: 0.1, loss: 0.01592346839606762, time: 0.5249495506286621
[2023-07-26_21:18:30] Epoch:5/200, iteration:224/468, lr: 0.1, loss: 0.004568661563098431, time: 0.5563552379608154
[2023-07-26_21:18:30] Epoch:5/200, iteration:324/468, lr: 0.1, loss: 0.05317382514476776, time: 0.610095739364624
[2023-07-26_21:18:31] Epoch:5/200, iteration:424/468, lr: 0.1, loss: 0.04417886957526207, time: 0.6327519416809082
[2023-07-26_21:18:32] Epoch:6/200, iteration:55/468, lr: 0.1, loss: 0.015969695523381233, time: 0.8890988826751709
[2023-07-26_21:18:32] Epoch:6/200, iteration:155/468, lr: 0.1, loss: 0.07699500769376755, time: 0.6064302921295166
[2023-07-26_21:18:33] Epoch:6/200, iteration:255/468, lr: 0.1, loss: 0.05615000054240227, time: 0.5796496868133545
