Total train samples: 60000
Total test samples: 10000
Batch size: 128
iteration every epoch: 468
Initial learning rate: 0.1
[2023-08-19_11:49:00] Epoch:1/200, iteration:100/468, lr: 0.1, loss: 0.4376247227191925, time: 4.765780925750732
[2023-08-19_11:49:01] Epoch:1/200, iteration:200/468, lr: 0.1, loss: 0.3124057948589325, time: 0.6894278526306152
[2023-08-19_11:49:02] Epoch:1/200, iteration:300/468, lr: 0.1, loss: 0.299839586019516, time: 0.6676070690155029
[2023-08-19_11:49:02] Epoch:1/200, iteration:400/468, lr: 0.1, loss: 0.19489851593971252, time: 0.6571991443634033
[2023-08-19_11:49:03] Epoch:2/200, iteration:31/468, lr: 0.1, loss: 0.020920529961586, time: 1.00120210647583
[2023-08-19_11:49:04] Epoch:2/200, iteration:131/468, lr: 0.1, loss: 0.028209205716848373, time: 0.6415798664093018
[2023-08-19_11:49:05] Epoch:2/200, iteration:231/468, lr: 0.1, loss: 0.0432119183242321, time: 0.6526570320129395
[2023-08-19_11:49:05] Epoch:2/200, iteration:331/468, lr: 0.1, loss: 0.034915242344141006, time: 0.6512606143951416
[2023-08-19_11:49:06] Epoch:2/200, iteration:431/468, lr: 0.1, loss: 0.0272676944732666, time: 0.6598680019378662
[2023-08-19_11:49:07] Epoch:3/200, iteration:62/468, lr: 0.1, loss: 0.059906162321567535, time: 0.9784622192382812
[2023-08-19_11:49:08] Epoch:3/200, iteration:162/468, lr: 0.1, loss: 0.008754054084420204, time: 0.682262659072876
[2023-08-19_11:49:08] Epoch:3/200, iteration:262/468, lr: 0.1, loss: 0.013780110515654087, time: 0.678717851638794
[2023-08-19_11:49:09] Epoch:3/200, iteration:362/468, lr: 0.1, loss: 0.07486946880817413, time: 0.6791250705718994
[2023-08-19_11:49:10] Epoch:3/200, iteration:462/468, lr: 0.1, loss: 0.09566885977983475, time: 0.7246224880218506
[2023-08-19_11:49:11] Epoch:4/200, iteration:93/468, lr: 0.1, loss: 0.02471993677318096, time: 0.9751582145690918
